title,date,media,location,url,image_urls,dimensions,scraped_at
"Louis-Marie, Vicomte de Noailles",1798,,,https://www.wikiart.org/pt/gilbert-stuart/louis-marie-vicomte-de-noailles-1798,https://uploads4.wikiart.org/images/gilbert-stuart/louis-marie-vicomte-de-noailles-1798.jpg!Large.jpg,,01 January 2025
Mrs. Joseph Anthony Jr. (Henrietta Hillegas),1798,,,https://www.wikiart.org/pt/gilbert-stuart/mrs-joseph-anthony-jr-henrietta-hillegas-1798,https://uploads4.wikiart.org/images/gilbert-stuart/mrs-joseph-anthony-jr-henrietta-hillegas-1798.jpg!Large.jpg,,01 January 2025
Joseph Anthony Jr.,1798,,,https://www.wikiart.org/pt/gilbert-stuart/joseph-anthony-jr-1798,https://uploads8.wikiart.org/images/gilbert-stuart/joseph-anthony-jr-1798.jpg!Large.jpg,,01 January 2025
George Washington,1796,,,https://www.wikiart.org/pt/gilbert-stuart/george-washington-1796,https://uploads8.wikiart.org/images/gilbert-stuart/george-washington-1796.jpg!Large.jpg,,01 January 2025
Margaret Crease Stackpole Welch,1815,,,https://www.wikiart.org/pt/gilbert-stuart/margaret-crease-stackpole-welch-1815,https://uploads3.wikiart.org/images/gilbert-stuart/margaret-crease-stackpole-welch-1815.jpg,,01 January 2025
Thomas Jefferson,1807,"oil, canvas","Bowdoin College Museum of Art, Brunswick, ME, US",https://www.wikiart.org/pt/gilbert-stuart/thomas-jefferson-1807,https://uploads3.wikiart.org/00261/images/gilbert-stuart/thomas-jefferson.jpg,,01 January 2025
George Washington (Vaughan portrait),1795,"oil, canvas",Galeria Nacional de Arte,https://www.wikiart.org/pt/gilbert-stuart/george-washington-1800,https://uploads8.wikiart.org/images/gilbert-stuart/george-washington-1800.jpg!Large.jpg,,01 January 2025
George Pollock,1794,,,https://www.wikiart.org/pt/gilbert-stuart/george-pollock-1794,https://uploads5.wikiart.org/images/gilbert-stuart/george-pollock-1794.jpg!Large.jpg,,01 January 2025
George Washington (Gibbs-Channing-Avery portrait),1795,"oil, canvas",Metropolitan Museum of Art,https://www.wikiart.org/pt/gilbert-stuart/george-washington-1975,https://uploads8.wikiart.org/images/gilbert-stuart/george-washington-1975.jpg!Large.jpg,,01 January 2025
Matilda Stoughton de Jaudenes,1794,,,https://www.wikiart.org/pt/gilbert-stuart/matilda-stoughton-de-jaudenes-1794,https://uploads2.wikiart.org/images/gilbert-stuart/matilda-stoughton-de-jaudenes-1794.jpg!Large.jpg,,01 January 2025
Josef de Jaudenes y Nebot,1794,,,https://www.wikiart.org/pt/gilbert-stuart/josef-de-jaudenes-y-nebot-1794,https://uploads7.wikiart.org/images/gilbert-stuart/josef-de-jaudenes-y-nebot-1794.jpg!Large.jpg,,01 January 2025
George Washington (The Landsdowne Portrait),1796,"oil, canvas",Brooklyn Museum,https://www.wikiart.org/pt/gilbert-stuart/george-washington-the-landsdowne-portrait-1796,https://uploads0.wikiart.org/00286/images/gilbert-stuart/george-washington-the-landsdowne-portrait-1796.jpg!Large.jpg,,01 January 2025
Matthew Clarkson,1794,,,https://www.wikiart.org/pt/gilbert-stuart/matthew-clarkson-1794,https://uploads7.wikiart.org/images/gilbert-stuart/matthew-clarkson-1794.jpg!Large.jpg,,01 January 2025
Horatio Gates,1794,,,https://www.wikiart.org/pt/gilbert-stuart/horatio-gates-1794,https://uploads4.wikiart.org/images/gilbert-stuart/horatio-gates-1794.jpg!Large.jpg,,01 January 2025
Catherine Brass Yates (Mrs. Richard Yates),1794,"oil, canvas",Galeria Nacional de Arte,https://www.wikiart.org/pt/gilbert-stuart/catherine-brass-yates-mrs-richard-yates-1794,https://uploads3.wikiart.org/images/gilbert-stuart/catherine-brass-yates-mrs-richard-yates-1794.jpg!Large.jpg,,01 January 2025
John Shaw,1793,,,https://www.wikiart.org/pt/gilbert-stuart/john-shaw-1793,https://uploads0.wikiart.org/images/gilbert-stuart/john-shaw-1793.jpg!Large.jpg,,01 January 2025
Luke White,1787,,,https://www.wikiart.org/pt/gilbert-stuart/luke-white-1787,https://uploads1.wikiart.org/images/gilbert-stuart/luke-white-1787.jpg!Large.jpg,,01 January 2025
John Philip Kemble,1785,,,https://www.wikiart.org/pt/gilbert-stuart/john-philip-kemble-1785,https://uploads0.wikiart.org/images/gilbert-stuart/john-philip-kemble-1785.jpg!Large.jpg,,01 January 2025
Sarah Siddons (née Kemble),1787,,,https://www.wikiart.org/pt/gilbert-stuart/sarah-siddons-n-e-kemble-1787,https://uploads6.wikiart.org/images/gilbert-stuart/sarah-siddons-n-e-kemble-1787.jpg!Large.jpg,,01 January 2025
Portrait of the Artist,1786,,,https://www.wikiart.org/pt/gilbert-stuart/portrait-of-the-artist-1786,https://uploads4.wikiart.org/images/gilbert-stuart/portrait-of-the-artist-1786.jpg!Large.jpg,,01 January 2025
Catherine Yates Pollock (Mrs. George Pollock),1794,,,https://www.wikiart.org/pt/gilbert-stuart/catherine-yates-pollock-mrs-george-pollock-1794,https://uploads6.wikiart.org/images/gilbert-stuart/catherine-yates-pollock-mrs-george-pollock-1794.jpg!Large.jpg,,01 January 2025
